sitename,NO2,NO,CO,O31,O38,ssr,tp,u10,v10,d2m,t2m,sp,tcc,blh,wd,ws,NOx,FAC1_1,FAC2_1
PT,19.96521739,2.986666667,0.56,29.4,27.70833333,241215.0,0.000530168,-2.394772,-3.7743993,278.87845,7.55096,102357.85,1.0000076,772.4348,32.39421398,4.470013759,22.95188406,-0.71445,-1.20153
PT,20.93913043,2.24,0.56,27.53333333,27.825,171610.0,0.000562292,-2.0278995,-4.0155826,278.73178,7.35992,102336.88,1.0000076,766.40283,26.79411996,4.498586445,23.17913043,-0.75408,-1.25075
PT,24.34782609,2.986666667,0.56,23.33333333,27.88333333,114407.0,0.000520125,-1.4597902,-4.2445607,278.50568,7.07073,102311.125,1.0000076,771.9824,18.97912898,4.488572486,27.33449275,-0.96309,-1.22373
PT,26.7826087,2.24,0.64,21.46666667,27.18333333,75204.0,0.000596438,-1.2315723,-4.3802876,278.28796,6.88494,102359.695,1.0000076,771.07764,15.70398805,4.550130744,29.0226087,-1.04975,-1.24691
PT,23.37391304,2.24,0.64,25.66666667,26.83333333,24002.0,0.000453852,-1.303148,-4.2377257,277.96713,6.64416,102397.31,1.0000076,765.0456,17.0932478,4.433566715,25.61391304,-0.891,-1.22982
PT,23.37391304,5.226666667,0.72,24.73333333,24.325,945256.0,0.0,0.9576719,-4.6785936,275.51883,6.58593,102718.71,0.85731506,719.95624,348.4317959,4.775601904,28.60057971,-1.32036,-0.54147
PT,22.4,3.733333333,0.72,27.06666667,23.15833333,1260476.0,0.0,1.155161,-4.4452214,274.78854,7.57714,102706.45,0.7614237,903.07837,345.4329864,4.592862967,26.13333333,-1.16399,-0.46637
PT,21.91304348,3.733333333,0.72,27.53333333,22.51666667,1242474.0,0.0,1.9436188,-4.1859736,274.00403,8.07766,102625.6,0.73633695,1037.6426,335.0937555,4.615195448,25.64637681,-1.10515,-0.49172
PT,22.4,3.733333333,0.72,28.0,22.63333333,1044862.5,0.0,2.0687826,-4.1268983,273.3486,8.16793,102522.766,0.911273,1200.658,333.3757419,4.616400224,26.13333333,-1.10703,-0.47611
PT,25.32173913,5.226666667,0.72,24.26666667,23.04166667,786047.0,0.0,2.2505326,-3.9159846,272.81693,8.05343,102457.055,0.96935105,1174.6198,330.1138389,4.516617359,30.5484058,-1.31857,-0.38013
PT,25.80869565,5.226666667,0.72,23.8,24.09166667,450827.0,0.0,2.2153068,-3.9067085,273.15457,7.56536,102457.88,0.9631862,1233.4823,330.4445096,4.491097363,31.03536232,-1.36686,-0.37664
PT,30.19130435,2.986666667,0.8,21.46666667,24.90833333,351221.5,2.01e-06,2.113002,-3.6235375,272.71075,7.23168,102493.984,0.9232518,1194.9276,329.7521547,4.194615771,33.17797101,-1.50735,-0.22995
PT,34.08695652,2.986666667,0.96,17.26666667,24.26666667,120007.0,0.0,1.6501955,-3.0742834,272.6672,6.76324,102546.88,0.8349445,1105.352,331.7742516,3.489178071,37.07362319,-1.76909,0.12503
PT,18.0173913,2.986666667,0.76,28.46666667,22.80833333,911254.0,0.0,1.7360115,-2.6675913,270.2846,4.50863,102775.79,0.917209,1067.4006,326.9447804,3.182731417,21.00405797,-1.18878,-0.07049
PT,18.50434783,3.733333333,0.56,26.13333333,23.975,1119667.0,0.0,1.2361053,-2.2111,270.63602,5.05233,102686.1,0.9967268,1150.8938,330.7928274,2.533163935,22.23768116,-1.28485,0.25271
PT,18.99130435,5.226666667,0.56,27.53333333,24.38333333,1544093.0,0.0,0.79128635,-1.8961945,271.08978,5.83352,102569.22,0.9999924,1137.4224,337.3491098,2.05467459,24.21797101,-1.3245,0.57503
PT,18.99130435,3.733333333,0.56,28.46666667,25.14166667,1312078.5,0.0,0.868858,-1.6862574,271.2693,6.1914,102492.414,1.0000076,1152.3013,332.7398399,1.896939178,22.72463768,-1.24923,0.62205
PT,18.50434783,3.733333333,0.64,28.93333333,25.84166667,1071664.0,0.0,0.8793508,-1.681375,271.322,6.3229,102448.766,0.9999924,1150.6927,332.3906556,1.897440307,22.23768116,-1.2193,0.6189
PT,19.47826087,2.986666667,0.72,28.93333333,26.54166667,735244.0,0.0,1.251095,-2.3175333,271.20053,6.34255,102431.57,1.0000076,1113.8975,331.6380935,2.633666512,22.46492754,-1.17979,0.28817
PT,22.88695652,2.986666667,0.72,25.66666667,27.125,404824.5,0.0,0.8103981,-2.2462523,270.96524,6.03307,102399.71,0.9962995,1023.56793,340.1616786,2.387968692,25.87362319,-1.38143,0.45371
PT,24.83478261,2.24,0.88,22.86666667,27.125,121607.0,0.0,0.38206783,-1.8742243,270.77734,5.67782,102427.05,0.9407546,1000.69653,348.4779093,1.91277091,27.07478261,-1.52047,0.67396
PT,23.37391304,5.973333333,0.8,24.73333333,12.6,1098066.0,0.0,2.8426254,-1.1189389,271.57407,6.00625,102572.984,0.33171326,1034.8779,291.486022,3.054921182,29.34724638,-1.4194,0.10694
PT,18.99130435,5.226666667,0.72,35.0,14.7,1544093.0,0.0,2.8542423,-0.9265779,271.81088,7.0027,102516.53,0.41213137,1044.4287,287.9850802,3.000874158,24.21797101,-1.03824,0.15385
PT,19.47826087,3.733333333,0.8,41.06666667,18.375,1848510.5,0.0,2.9483025,-0.89581966,272.3013,7.95202,102427.87,0.08008242,1051.064,286.9010118,3.081392623,23.2115942,-0.85514,0.1929
PT,20.93913043,3.733333333,0.8,42.46666667,22.75,1904914.0,0.0,2.9246938,-1.1247976,272.69394,8.61544,102328.25,0.09932476,1109.8761,291.0360667,3.133528916,24.67246377,-0.84868,0.25177
PT,23.37391304,3.733333333,0.8,40.6,27.24166667,1704502.5,0.0,2.6893556,-1.4328681,272.9399,8.991,102284.336,0.18531263,1182.8132,298.0483498,3.047251965,27.10724638,-0.9523,0.35566
